                  EXAMPLE1.SAS--Power for two sample t-test with overlay plot                   
                                                                                                
                                                                                                
                                                                                                
WARNING 2: B = 1, so that all tests coincide (univariate case). Since COLLAPSE = 1, power is    
given as one value with the heading POWER. To print powers with a heading for each test, specify
OPT_OFF = {COLLAPSE}.                                                                           
                                                                                                
                                                                                                
                                                                                                
WARNING 10: SIGMA is a scalar. For this program, a scalar SIGMA must equal the variance, NOT the
standard deviation.                                                                             
                                                                                                
                                                                                                
                                                                                                
POWER CALCULATION WARNING 22: Power values were rounded to 1 using the value contained in ROUND 
and should not be be reported as Power = 1. For example, if ROUND = 3 then report Power > 0.999 
. This occurred 23 time(s).                                                                     
                                                                                                
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
                  EXAMPLE1.SAS--Power for two sample t-test with overlay plot                   
                                                                                                
                               ****REQUESTED PRINTED MATRICES***                                
                                                                                                
                                                                                                
                                            ESSENCEX                                            
                                                                                                
                                              1         0                                       
                                              0         1                                       
                                                                                                
                                                                                                
                                              BETA                                              
                                                                                                
                                                   0                                            
                                                   1                                            
                                                                                                
                                                                                                
                                             SIGMA                                              
                                                                                                
                                                   1                                            
                                                                                                
                                                                                                
                                              RHO                                               
                                                                                                
                                                   1                                            
                                                                                                
                                                                                                
                                          C * BETA * U                                          
                                                                                                
                                                    -1                                          
                                                                                                
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
                  EXAMPLE1.SAS--Power for two sample t-test with overlay plot                   
                                                                                                
                                   ****POWER CALCULATIONS****                                   
                                            HOLDPOW                                             
                            ALPHA   SIGSCAL  BETASCAL   TOTAL_N     POWER                       
                                                                                                
                             0.05      0.32         0        20      0.05                       
                             0.05      0.32      0.05        20     0.054                       
                             0.05      0.32       0.1        20     0.066                       
                             0.05      0.32      0.15        20     0.087                       
                             0.05      0.32       0.2        20     0.116                       
                             0.05      0.32      0.25        20     0.155                       
                             0.05      0.32       0.3        20     0.202                       
                             0.05      0.32      0.35        20     0.258                       
                             0.05      0.32       0.4        20     0.322                       
                             0.05      0.32      0.45        20     0.391                       
                             0.05      0.32       0.5        20     0.465                       
                             0.05      0.32      0.55        20     0.539                       
                             0.05      0.32       0.6        20     0.612                       
                             0.05      0.32      0.65        20     0.681                       
                             0.05      0.32       0.7        20     0.744                       
                             0.05      0.32      0.75        20     0.801                       
                             0.05      0.32       0.8        20     0.848                       
                             0.05      0.32      0.85        20     0.888                       
                             0.05      0.32       0.9        20      0.92                       
                             0.05      0.32      0.95        20     0.944                       
                             0.05      0.32         1        20     0.962                       
                             0.05      0.32      1.05        20     0.975                       
                             0.05      0.32       1.1        20     0.984                       
                             0.05      0.32      1.15        20      0.99                       
                             0.05      0.32       1.2        20     0.994                       
                             0.05      0.32      1.25        20     0.997                       
                             0.05      0.32       1.3        20     0.998                       
                             0.05      0.32      1.35        20     0.999                       
                             0.05      0.32       1.4        20     0.999                       
                             0.05      0.32      1.45        20         1                       
                             0.05      0.32       1.5        20         1                       
                             0.05      0.32      1.55        20         1                       
                             0.05      0.32       1.6        20         1                       
                             0.05      0.32      1.65        20         1                       
                             0.05      0.32       1.7        20         1                       
                             0.05      0.32      1.75        20         1                       
                                                                                                
 
 
 
 
 
 
 
 
 
 
 
                  EXAMPLE1.SAS--Power for two sample t-test with overlay plot                   
                                                                                                
                                            HOLDPOW                                             
                            ALPHA   SIGSCAL  BETASCAL   TOTAL_N     POWER                       
                                                                                                
                             0.05      0.32       1.8        20         1                       
                             0.05      0.32      1.85        20         1                       
                             0.05      0.32       1.9        20         1                       
                             0.05      0.32      1.95        20         1                       
                             0.05      0.32         2        20         1                       
                             0.05      0.32      2.05        20         1                       
                             0.05      0.32       2.1        20         1                       
                             0.05      0.32      2.15        20         1                       
                             0.05      0.32       2.2        20         1                       
                             0.05      0.32      2.25        20         1                       
                             0.05      0.32       2.3        20         1                       
                             0.05      0.32      2.35        20         1                       
                             0.05      0.32       2.4        20         1                       
                             0.05      0.32      2.45        20         1                       
                             0.05      0.32       2.5        20         1                       
                             0.05         1         0        20      0.05                       
                             0.05         1      0.05        20     0.051                       
                             0.05         1       0.1        20     0.055                       
                             0.05         1      0.15        20     0.062                       
                             0.05         1       0.2        20     0.071                       
                             0.05         1      0.25        20     0.083                       
                             0.05         1       0.3        20     0.097                       
                             0.05         1      0.35        20     0.115                       
                             0.05         1       0.4        20     0.135                       
                             0.05         1      0.45        20     0.159                       
                             0.05         1       0.5        20     0.185                       
                             0.05         1      0.55        20     0.214                       
                             0.05         1       0.6        20     0.246                       
                             0.05         1      0.65        20      0.28                       
                             0.05         1       0.7        20     0.317                       
                             0.05         1      0.75        20     0.355                       
                             0.05         1       0.8        20     0.395                       
                             0.05         1      0.85        20     0.436                       
                             0.05         1       0.9        20     0.478                       
                             0.05         1      0.95        20      0.52                       
                             0.05         1         1        20     0.562                       
                                                                                                
 
 
 
 
 
 
 
 
 
 
 
 
                  EXAMPLE1.SAS--Power for two sample t-test with overlay plot                   
                                                                                                
                                            HOLDPOW                                             
                            ALPHA   SIGSCAL  BETASCAL   TOTAL_N     POWER                       
                                                                                                
                             0.05         1      1.05        20     0.603                       
                             0.05         1       1.1        20     0.643                       
                             0.05         1      1.15        20     0.682                       
                             0.05         1       1.2        20     0.718                       
                             0.05         1      1.25        20     0.753                       
                             0.05         1       1.3        20     0.785                       
                             0.05         1      1.35        20     0.814                       
                             0.05         1       1.4        20     0.841                       
                             0.05         1      1.45        20     0.865                       
                             0.05         1       1.5        20     0.887                       
                             0.05         1      1.55        20     0.906                       
                             0.05         1       1.6        20     0.922                       
                             0.05         1      1.65        20     0.937                       
                             0.05         1       1.7        20     0.949                       
                             0.05         1      1.75        20     0.959                       
                             0.05         1       1.8        20     0.967                       
                             0.05         1      1.85        20     0.974                       
                             0.05         1       1.9        20      0.98                       
                             0.05         1      1.95        20     0.985                       
                             0.05         1         2        20     0.988                       
                             0.05         1      2.05        20     0.991                       
                             0.05         1       2.1        20     0.993                       
                             0.05         1      2.15        20     0.995                       
                             0.05         1       2.2        20     0.996                       
                             0.05         1      2.25        20     0.997                       
                             0.05         1       2.3        20     0.998                       
                             0.05         1      2.35        20     0.999                       
                             0.05         1       2.4        20     0.999                       
                             0.05         1      2.45        20     0.999                       
                             0.05         1       2.5        20         1                       
                             0.05      2.05         0        20      0.05                       
                             0.05      2.05      0.05        20     0.051                       
                             0.05      2.05       0.1        20     0.053                       
                             0.05      2.05      0.15        20     0.056                       
                             0.05      2.05       0.2        20      0.06                       
                             0.05      2.05      0.25        20     0.066                       
                                                                                                
 
 
 
 
 
 
 
 
 
 
 
 
                  EXAMPLE1.SAS--Power for two sample t-test with overlay plot                   
                                                                                                
                                            HOLDPOW                                             
                            ALPHA   SIGSCAL  BETASCAL   TOTAL_N     POWER                       
                                                                                                
                             0.05      2.05       0.3        20     0.073                       
                             0.05      2.05      0.35        20     0.081                       
                             0.05      2.05       0.4        20     0.091                       
                             0.05      2.05      0.45        20     0.102                       
                             0.05      2.05       0.5        20     0.115                       
                             0.05      2.05      0.55        20     0.129                       
                             0.05      2.05       0.6        20     0.144                       
                             0.05      2.05      0.65        20     0.161                       
                             0.05      2.05       0.7        20     0.179                       
                             0.05      2.05      0.75        20     0.199                       
                             0.05      2.05       0.8        20      0.22                       
